Id,Warehouse Block,Mode Of Shipment,Customer Care Calls,Customer Rating,Cost Of The Product,Prior Purchases,Product Importance,Gender,Discount Offered,Weight In Gms,On-Time Delivery,Net Price,Discount Ratio,Status By Mode Of Shipment
1669,D,Ship,3,5,223,4,0,F,46,3938,1,177,0.21,0.6
1670,F,Ship,5,5,164,5,0,M,52,1644,1,112,0.32,0.6
1671,A,Ship,4,2,209,4,0,F,10,3370,1,199,0.05,0.6
1672,B,Ship,3,2,192,3,0,F,19,3183,1,173,0.1,0.6
1673,C,Ship,3,2,260,3,1,M,52,2874,1,208,0.2,0.6
1674,F,Ship,2,1,137,5,1,F,3,1037,1,134,0.02,0.6
1675,D,Ship,3,3,267,2,0,M,18,2435,1,249,0.07,0.6
1676,F,Ship,3,3,111,3,1,M,54,1712,1,57,0.49,0.6
1677,A,Ship,3,4,240,2,1,F,2,3729,1,238,0.01,0.6
1678,B,Ship,5,1,234,3,1,M,40,3340,1,194,0.17,0.6
1679,C,Ship,4,2,190,2,1,M,37,2563,1,153,0.19,0.6
1680,F,Ship,5,2,265,2,2,M,24,2415,1,241,0.09,0.6
1681,D,Ship,3,4,189,3,1,F,37,3492,1,152,0.2,0.6
1682,F,Ship,2,1,121,3,1,M,25,1124,1,96,0.21,0.6
1683,A,Ship,4,3,101,6,0,M,37,1344,1,64,0.37,0.6
1684,B,Ship,3,3,250,3,1,M,9,2752,1,241,0.04,0.6
1685,C,Ship,4,2,247,3,1,F,64,2198,1,183,0.26,0.6
1686,F,Ship,4,4,162,3,1,M,41,1104,1,121,0.25,0.6
1687,D,Ship,2,2,219,3,0,F,56,3608,1,163,0.26,0.6
1688,F,Ship,5,1,258,2,1,F,48,3717,1,210,0.19,0.6
1689,A,Ship,5,4,221,2,0,F,59,3444,1,162,0.27,0.6
1690,B,Ship,2,4,137,3,2,F,41,1176,1,96,0.3,0.6
1691,C,Ship,3,4,174,2,1,M,51,1430,1,123,0.29,0.6
1692,F,Ship,4,2,189,3,1,M,6,3671,1,183,0.03,0.6
1693,D,Ship,4,4,212,4,1,F,2,3830,1,210,0.01,0.6
1694,F,Ship,6,1,183,2,0,M,57,3966,1,126,0.31,0.6
1695,A,Ship,3,1,180,2,0,M,26,1715,1,154,0.14,0.6
1696,B,Ship,5,5,150,5,1,F,61,1091,1,89,0.41,0.6
1697,C,Ship,4,3,246,3,1,F,52,2440,1,194,0.21,0.6
1698,F,Ship,3,2,263,3,2,F,44,3802,1,219,0.17,0.6
1699,D,Ship,4,4,204,2,0,M,29,2941,1,175,0.14,0.6
1700,F,Ship,3,2,223,4,0,F,20,3955,1,203,0.09,0.6
1701,A,Ship,3,3,193,2,0,F,60,2581,1,133,0.31,0.6
1702,B,Ship,3,1,138,3,0,F,41,1914,1,97,0.3,0.6
1703,C,Ship,5,2,188,3,1,F,50,3992,1,138,0.27,0.6
1704,F,Ship,4,3,201,3,0,F,46,3641,1,155,0.23,0.6
1705,D,Ship,3,3,245,2,1,F,16,2577,1,229,0.07,0.6
1706,F,Ship,3,2,262,3,0,M,54,3150,1,208,0.21,0.6
1707,A,Ship,4,4,147,5,1,F,33,1886,1,114,0.22,0.6
1708,B,Ship,3,1,254,3,1,F,35,2965,1,219,0.14,0.6
1709,C,Ship,4,2,213,4,0,F,37,2184,1,176,0.17,0.6
1710,F,Ship,3,3,152,2,0,M,32,1665,1,120,0.21,0.6
1711,D,Ship,4,1,227,3,0,M,54,3972,1,173,0.24,0.6
1712,F,Ship,2,5,206,3,0,F,46,2944,1,160,0.22,0.6
1713,A,Ship,3,4,242,5,0,M,5,2307,1,237,0.02,0.6
1714,B,Ship,4,2,200,3,1,M,45,2486,1,155,0.22,0.6
1715,C,Ship,4,1,142,2,0,M,26,1683,1,116,0.18,0.6
1716,F,Ship,3,3,275,3,0,F,61,2123,1,214,0.22,0.6
1717,D,Ship,6,1,222,5,1,M,26,3137,1,196,0.12,0.6
1718,F,Ship,3,1,101,2,1,F,56,1184,1,45,0.55,0.6
1719,A,Ship,4,5,178,3,2,M,22,1907,1,156,0.12,0.6
1720,B,Ship,3,2,243,3,1,M,31,3943,1,212,0.13,0.6
1721,C,Ship,2,1,177,4,0,M,63,1058,1,114,0.36,0.6
1722,F,Ship,3,2,270,3,1,M,31,2377,1,239,0.11,0.6
1723,D,Ship,5,3,186,4,1,F,11,3676,1,175,0.06,0.6
1724,F,Ship,5,3,133,4,1,F,29,1094,1,104,0.22,0.6
1725,A,Ship,3,2,263,4,1,M,8,2599,1,255,0.03,0.6
1726,B,Ship,5,3,248,3,1,M,4,2207,1,244,0.02,0.6
1727,C,Ship,5,2,150,3,1,M,63,1807,1,87,0.42,0.6
1728,F,Ship,3,4,203,4,1,M,46,3640,1,157,0.23,0.6
1729,D,Ship,2,3,249,2,0,M,1,2905,1,248,0.0,0.6
1730,F,Ship,3,3,238,3,1,M,54,2860,1,184,0.23,0.6
1731,A,Ship,5,3,181,4,1,F,32,3893,1,149,0.18,0.6
1732,B,Ship,3,3,138,4,0,M,56,1440,1,82,0.41,0.6
1733,C,Ship,4,3,139,3,1,F,47,1323,1,92,0.34,0.6
1734,F,Ship,2,3,192,2,0,F,31,2621,1,161,0.16,0.6
1735,D,Ship,5,4,241,3,1,M,40,3484,1,201,0.17,0.6
1736,F,Ship,3,2,188,3,0,F,33,3335,1,155,0.18,0.6
1737,A,Ship,6,1,278,2,1,F,12,2112,1,266,0.04,0.6
1738,B,Ship,4,1,144,2,2,M,35,1072,1,109,0.24,0.6
1739,C,Ship,4,5,208,2,1,M,33,2170,1,175,0.16,0.6
1740,F,Ship,3,2,208,2,0,M,41,2036,1,167,0.2,0.6
1741,D,Ship,4,3,210,3,1,M,11,2655,1,199,0.05,0.6
1742,F,Ship,3,3,237,3,1,M,47,3625,1,190,0.2,0.6
1743,A,Ship,4,4,192,3,0,F,25,2443,1,167,0.13,0.6
1744,B,Ship,6,2,143,5,0,M,17,1955,1,126,0.12,0.6
1745,C,Ship,3,1,234,3,2,F,60,2596,1,174,0.26,0.6
1746,F,Ship,4,5,147,2,0,M,17,1057,1,130,0.12,0.6
1747,D,Ship,5,1,226,2,0,M,18,2582,1,208,0.08,0.6
1748,F,Ship,4,5,263,2,0,M,62,2267,1,201,0.24,0.6
1749,A,Ship,4,1,147,3,0,M,11,1434,1,136,0.07,0.6
1750,B,Ship,3,1,174,4,0,M,18,1072,1,156,0.1,0.6
1751,C,Ship,3,1,142,4,0,M,4,1583,1,138,0.03,0.6
1752,F,Ship,4,4,136,3,0,M,6,1900,1,130,0.04,0.6
1753,D,Ship,3,1,192,3,1,M,35,2258,1,157,0.18,0.6
1754,F,Ship,3,2,184,5,2,F,26,3336,1,158,0.14,0.6
1755,A,Road,6,5,260,4,2,M,10,2756,1,250,0.04,0.59
1756,B,Road,5,3,160,3,2,M,25,1977,1,135,0.16,0.59
1757,C,Road,3,1,262,2,0,F,28,2940,1,234,0.11,0.59
1758,F,Road,4,3,217,3,0,M,51,3144,1,166,0.24,0.59
1759,D,Road,3,2,267,5,0,F,48,2622,1,219,0.18,0.59
1760,F,Road,5,4,195,2,0,M,4,3108,1,191,0.02,0.59
1761,A,Road,4,3,152,2,1,M,18,1537,1,134,0.12,0.59
1762,B,Road,4,5,178,3,0,F,23,1695,1,155,0.13,0.59
1763,C,Road,4,2,190,4,1,M,61,2077,1,129,0.32,0.59
1764,F,Road,3,5,286,3,1,F,12,3817,1,274,0.04,0.59
1765,D,Road,2,1,167,2,0,M,46,1023,1,121,0.28,0.59
1766,F,Road,2,2,148,6,1,F,63,1279,1,85,0.43,0.59
1767,A,Road,4,3,218,4,0,F,50,3990,1,168,0.23,0.59
1768,B,Road,5,2,272,2,1,F,37,2226,1,235,0.14,0.59
1769,C,Road,4,3,147,2,2,F,52,1570,1,95,0.35,0.59
1770,F,Road,4,5,263,3,1,F,32,3723,1,231,0.12,0.59
1771,D,Road,5,5,189,4,2,F,16,3564,1,173,0.08,0.59
1772,F,Road,3,3,242,3,0,F,7,3127,1,235,0.03,0.59
1773,A,Road,5,3,204,2,0,M,40,2181,1,164,0.2,0.59
1774,B,Road,3,1,229,3,1,M,2,3963,1,227,0.01,0.59
1775,C,Road,3,5,180,2,0,M,33,1444,1,147,0.18,0.59
1776,F,Road,5,5,190,4,1,M,12,2947,1,178,0.06,0.59
1777,D,Flight,6,1,154,5,1,M,19,1842,1,135,0.12,0.6
1778,F,Flight,4,3,134,3,0,F,21,1955,1,113,0.16,0.6
1779,A,Flight,3,3,206,2,1,M,62,3558,1,144,0.3,0.6
1780,B,Flight,3,2,169,2,1,M,61,1511,1,108,0.36,0.6
1781,C,Flight,4,2,237,2,1,F,6,2965,1,231,0.03,0.6
1782,F,Flight,4,4,146,2,0,M,52,1459,1,94,0.36,0.6
1783,D,Flight,5,2,187,3,1,M,11,2936,1,176,0.06,0.6
1784,F,Flight,5,4,206,3,0,M,53,2182,1,153,0.26,0.6
1785,A,Flight,5,3,208,4,1,M,10,2419,1,198,0.05,0.6
1786,B,Flight,4,2,149,4,0,M,40,1102,1,109,0.27,0.6
1787,C,Flight,6,2,148,4,0,M,56,1511,1,92,0.38,0.6
1788,F,Flight,4,2,135,2,0,M,54,1011,1,81,0.4,0.6
1789,D,Flight,4,1,242,3,1,F,35,3556,1,207,0.14,0.6
1790,F,Flight,5,2,231,4,1,M,41,2992,1,190,0.18,0.6
1791,A,Flight,6,2,205,5,1,F,61,2018,1,144,0.3,0.6
1792,B,Flight,4,4,137,2,1,M,37,1447,1,100,0.27,0.6
1793,C,Flight,3,4,202,4,2,M,20,3655,1,182,0.1,0.6
1794,F,Flight,3,1,163,3,1,M,59,1005,1,104,0.36,0.6
1795,D,Flight,2,2,128,2,0,M,17,1824,1,111,0.13,0.6
1796,F,Flight,3,3,165,3,2,M,35,1459,1,130,0.21,0.6
1797,A,Flight,4,1,242,2,0,M,34,3966,1,208,0.14,0.6
1798,B,Flight,5,4,229,2,1,M,9,3667,1,220,0.04,0.6
1799,C,Ship,5,1,191,3,0,M,56,3538,1,135,0.29,0.6
1800,F,Ship,3,5,231,2,1,M,49,2341,1,182,0.21,0.6
1801,D,Ship,3,1,183,3,1,F,51,3863,1,132,0.28,0.6
1802,F,Ship,3,1,195,3,2,M,5,3251,1,190,0.03,0.6
1803,A,Ship,3,5,249,2,0,F,26,2029,1,223,0.1,0.6
1804,B,Ship,3,4,151,3,0,M,16,1020,1,135,0.11,0.6
1805,C,Ship,4,1,140,2,0,M,60,1950,1,80,0.43,0.6
1806,F,Ship,4,1,151,2,1,M,6,1114,1,145,0.04,0.6
1807,D,Ship,2,5,109,3,1,M,12,1715,1,97,0.11,0.6
1808,F,Ship,5,1,180,2,0,M,35,1204,1,145,0.19,0.6
1809,A,Ship,4,1,151,5,2,M,28,1148,1,123,0.19,0.6
1810,B,Ship,2,1,188,3,0,M,62,2106,1,126,0.33,0.6
1811,C,Ship,4,2,274,2,0,M,11,3013,1,263,0.04,0.6
1812,F,Ship,3,5,187,2,1,F,50,2598,1,137,0.27,0.6
1813,D,Ship,4,2,185,2,1,M,4,2212,1,181,0.02,0.6
1814,F,Ship,3,4,187,2,1,M,54,3290,1,133,0.29,0.6
1815,A,Ship,5,4,260,3,0,M,43,2143,1,217,0.17,0.6
1816,B,Ship,3,3,191,3,0,M,5,2007,1,186,0.03,0.6
1817,C,Ship,3,4,203,2,0,F,15,2281,1,188,0.07,0.6
1818,F,Ship,4,1,144,4,0,F,63,1881,1,81,0.44,0.6
1819,D,Ship,5,2,281,4,2,F,5,3357,1,276,0.02,0.6
1820,F,Ship,2,3,169,3,1,M,48,1279,1,121,0.28,0.6
1821,A,Ship,4,3,201,2,1,F,18,3461,1,183,0.09,0.6
1822,B,Ship,4,4,226,5,1,F,12,2708,1,214,0.05,0.6
1823,C,Ship,6,3,176,5,0,F,7,1767,1,169,0.04,0.6
1824,F,Ship,3,5,228,4,1,M,57,2243,1,171,0.25,0.6
1825,D,Ship,4,5,260,3,0,F,14,2071,1,246,0.05,0.6
1826,F,Ship,4,5,268,3,0,M,17,3085,1,251,0.06,0.6
1827,A,Ship,4,5,188,3,0,F,6,3361,1,182,0.03,0.6
1828,B,Ship,4,4,213,3,1,M,11,2037,1,202,0.05,0.6
1829,C,Ship,4,4,259,2,1,M,44,2132,1,215,0.17,0.6
1830,F,Ship,3,2,257,2,2,F,46,2848,1,211,0.18,0.6
1831,D,Ship,4,5,163,3,0,M,38,1146,1,125,0.23,0.6
1832,F,Ship,2,3,211,3,1,F,12,3296,1,199,0.06,0.6
1833,A,Ship,3,4,166,2,1,F,58,1319,1,108,0.35,0.6
1834,B,Ship,3,5,245,4,2,F,26,2072,1,219,0.11,0.6
1835,C,Ship,5,5,234,2,1,M,44,2548,1,190,0.19,0.6
1836,F,Ship,4,2,234,2,2,M,27,3393,1,207,0.12,0.6
1837,D,Ship,3,1,180,3,0,M,52,1838,1,128,0.29,0.6
1838,F,Ship,4,5,217,4,1,M,37,2128,1,180,0.17,0.6
1839,A,Ship,4,1,253,3,0,M,31,3632,1,222,0.12,0.6
1840,B,Ship,3,2,188,3,1,M,3,3837,1,185,0.02,0.6
1841,C,Ship,2,3,274,3,2,F,24,3829,1,250,0.09,0.6
1842,F,Ship,3,4,136,2,1,F,54,1056,1,82,0.4,0.6
1843,D,Ship,3,5,143,2,0,M,17,1422,1,126,0.12,0.6
1844,F,Ship,3,1,267,3,0,F,57,3257,1,210,0.21,0.6
1845,A,Ship,3,4,198,2,1,F,20,2266,1,178,0.1,0.6
1846,B,Ship,4,4,201,10,1,M,17,2059,1,184,0.08,0.6
1847,C,Ship,3,5,241,10,1,F,31,2724,1,210,0.13,0.6
1848,F,Ship,5,1,269,3,1,F,2,2136,1,267,0.01,0.6
1849,D,Ship,5,5,123,2,0,F,60,1653,1,63,0.49,0.6
1850,F,Ship,3,2,178,2,0,M,32,1329,1,146,0.18,0.6
1851,A,Ship,3,4,203,3,0,M,18,3127,1,185,0.09,0.6
1852,B,Ship,3,1,169,10,1,F,15,1107,1,154,0.09,0.6
1853,C,Ship,3,5,190,10,1,F,27,2739,1,163,0.14,0.6
1854,F,Ship,3,3,190,7,1,F,7,2400,1,183,0.04,0.6
1855,D,Ship,4,5,238,10,1,M,38,3556,1,200,0.16,0.6
1856,F,Ship,5,5,247,10,1,F,61,2206,1,186,0.25,0.6
1857,A,Ship,4,1,190,10,0,F,35,3819,1,155,0.18,0.6
1858,B,Ship,3,5,168,3,0,F,5,1143,1,163,0.03,0.6
1859,C,Ship,2,2,190,3,0,M,51,2380,1,139,0.27,0.6
1860,F,Ship,2,5,170,8,0,M,14,1396,1,156,0.08,0.6
1861,D,Ship,4,4,226,7,0,M,9,2182,1,217,0.04,0.6
1862,F,Ship,5,1,256,7,0,F,50,3837,1,206,0.2,0.6
1863,A,Ship,2,1,104,7,0,M,30,1870,1,74,0.29,0.6
1864,B,Ship,4,1,192,3,1,F,29,3347,1,163,0.15,0.6
1865,C,Ship,4,3,213,3,1,M,57,3599,1,156,0.27,0.6
1866,F,Ship,4,2,259,2,1,M,54,2244,1,205,0.21,0.6
1867,D,Ship,3,4,257,2,2,M,15,3981,1,242,0.06,0.6
1868,F,Ship,4,3,163,3,0,M,52,1891,1,111,0.32,0.6
1869,A,Ship,2,3,211,3,1,F,55,3842,1,156,0.26,0.6
1870,B,Ship,3,2,166,2,1,F,45,1741,1,121,0.27,0.6
1871,C,Ship,3,1,245,4,2,F,47,3111,1,198,0.19,0.6
1872,F,Ship,5,5,234,2,1,F,43,3822,1,191,0.18,0.6
1873,D,Ship,4,4,234,2,2,M,2,2008,1,232,0.01,0.6
1874,F,Ship,3,4,180,3,0,F,52,1727,1,128,0.29,0.6
1875,A,Ship,4,5,217,4,1,F,12,2217,1,205,0.06,0.6
1876,B,Ship,4,5,253,3,0,F,58,3096,1,195,0.23,0.6
1877,C,Ship,3,4,188,3,1,F,49,3221,1,139,0.26,0.6
1878,F,Ship,2,2,274,3,2,F,60,2053,1,214,0.22,0.6
1879,D,Ship,3,1,136,2,1,F,61,1509,1,75,0.45,0.6
1880,F,Ship,3,1,143,2,0,F,63,1246,1,80,0.44,0.6
1881,A,Ship,3,4,267,3,0,F,55,2923,1,212,0.21,0.6
1882,B,Ship,3,1,198,2,1,F,49,3573,1,149,0.25,0.6
1883,C,Ship,4,1,201,10,1,M,37,3402,1,164,0.18,0.6
1884,F,Ship,3,5,241,10,1,M,41,3015,1,200,0.17,0.6
1885,D,Ship,5,4,269,3,1,F,51,3415,1,218,0.19,0.6
1886,F,Ship,5,3,123,2,0,F,30,1068,1,93,0.24,0.6
1887,A,Ship,3,4,178,2,0,F,35,1183,1,143,0.2,0.6
1888,B,Ship,3,5,203,3,0,F,58,3231,1,145,0.29,0.6
1889,C,Ship,3,2,169,10,1,F,4,1665,1,165,0.02,0.6
1890,F,Ship,3,4,190,10,1,F,38,2018,1,152,0.2,0.6
1891,D,Ship,3,4,190,7,1,F,51,2391,1,139,0.27,0.6
1892,F,Road,4,5,238,10,1,F,44,3860,1,194,0.18,0.59
1893,A,Road,5,1,247,10,1,F,57,2377,1,190,0.23,0.59
1894,B,Road,4,3,190,10,0,M,34,3935,1,156,0.18,0.59
1895,C,Road,3,2,168,3,0,M,15,1862,1,153,0.09,0.59
1896,F,Road,2,1,190,3,0,M,59,2108,1,131,0.31,0.59
1897,D,Road,2,3,170,8,0,M,61,1240,1,109,0.36,0.59
1898,F,Road,4,1,226,7,0,M,41,2964,1,185,0.18,0.59
1899,A,Road,5,2,256,7,0,F,41,2758,1,215,0.16,0.59
1900,B,Road,2,5,104,7,0,M,12,1064,1,92,0.12,0.59
1901,C,Road,4,4,192,3,1,M,39,2943,1,153,0.2,0.59
1902,F,Road,5,2,195,6,0,M,38,1338,1,157,0.19,0.59
1903,D,Road,3,5,271,4,0,M,51,1134,1,220,0.19,0.59
1904,F,Road,2,1,296,5,1,M,29,1648,1,267,0.1,0.59
1905,A,Road,4,5,277,5,1,F,32,1055,1,245,0.12,0.59
1906,B,Road,2,4,140,3,0,M,32,1819,1,108,0.23,0.59
1907,C,Road,4,1,148,3,2,F,23,1814,1,125,0.16,0.59
1908,F,Road,4,5,238,2,0,F,1,2644,1,237,0.0,0.59
1909,D,Road,5,3,220,3,0,M,37,2294,1,183,0.17,0.59
1910,F,Road,4,4,224,3,0,M,29,3623,1,195,0.13,0.59
1911,A,Road,4,5,162,3,0,F,31,1170,1,131,0.19,0.59
1912,B,Road,4,2,202,4,0,F,1,3602,1,201,0.0,0.59
1913,C,Road,3,5,226,3,1,M,5,3914,1,221,0.02,0.59
1914,F,Flight,4,3,246,2,0,M,60,2086,1,186,0.24,0.6
1915,D,Flight,5,2,223,3,0,F,51,3687,1,172,0.23,0.6
1916,F,Flight,5,2,156,2,1,M,19,1311,1,137,0.12,0.6
1917,A,Flight,2,5,189,2,0,M,38,3708,1,151,0.2,0.6
1918,B,Flight,5,4,242,3,2,F,2,3564,1,240,0.01,0.6
1919,C,Flight,4,5,207,2,1,F,49,3736,1,158,0.24,0.6
1920,F,Flight,3,3,161,3,0,F,24,1920,1,137,0.15,0.6
1921,D,Flight,4,5,232,2,0,F,21,3128,1,211,0.09,0.6
1922,F,Flight,6,4,194,3,0,M,10,2554,1,184,0.05,0.6
1923,A,Flight,5,5,161,3,1,F,59,1037,1,102,0.37,0.6
1924,B,Flight,4,1,269,3,1,F,23,3652,1,246,0.09,0.6
1925,C,Flight,3,3,219,2,0,F,41,3932,1,178,0.19,0.6
1926,F,Flight,5,2,161,2,1,F,59,1859,1,102,0.37,0.6
1927,D,Flight,3,1,264,4,0,M,33,3561,1,231,0.12,0.6
1928,F,Flight,5,2,151,3,1,M,20,1395,1,131,0.13,0.6
1929,A,Flight,5,5,177,2,2,F,31,2000,1,146,0.18,0.6
1930,B,Flight,2,5,193,5,1,F,13,2882,1,180,0.07,0.6
1931,C,Flight,4,4,212,4,1,M,16,2494,1,196,0.08,0.6
1932,F,Flight,4,1,210,2,1,F,7,3405,1,203,0.03,0.6
1933,D,Flight,4,2,164,2,1,F,43,1976,1,121,0.26,0.6
1934,F,Flight,4,2,219,3,0,M,2,3402,1,217,0.01,0.6
1935,A,Flight,4,4,216,4,1,M,27,3740,1,189,0.12,0.6
1936,B,Ship,5,2,174,2,1,M,54,1091,1,120,0.31,0.6
1937,C,Ship,3,5,199,2,0,M,46,2728,1,153,0.23,0.6
1938,F,Ship,3,4,181,3,0,M,45,2486,1,136,0.25,0.6
1939,D,Ship,3,2,220,3,0,M,22,2818,1,198,0.1,0.6
1940,F,Ship,3,1,215,2,0,F,47,3678,1,168,0.22,0.6
1941,A,Ship,4,5,248,4,2,F,56,2840,1,192,0.23,0.6
1942,B,Ship,3,2,183,4,0,M,49,2414,1,134,0.27,0.6
1943,C,Ship,4,2,194,4,1,F,26,3818,1,168,0.13,0.6
1944,F,Ship,4,4,224,2,2,F,31,2084,1,193,0.14,0.6
1945,D,Ship,4,4,184,3,0,F,52,3128,1,132,0.28,0.6
1946,F,Ship,4,1,160,2,0,M,28,1276,1,132,0.18,0.6
1947,A,Ship,5,1,182,3,0,M,8,3580,1,174,0.04,0.6
1948,B,Ship,3,2,116,2,0,F,22,1430,1,94,0.19,0.6
1949,C,Ship,4,4,170,4,0,M,39,1868,1,131,0.23,0.6
1950,F,Ship,5,1,201,2,1,F,54,2158,1,147,0.27,0.6
1951,D,Ship,4,3,148,2,0,M,29,1809,1,119,0.2,0.6
1952,F,Ship,5,1,165,3,0,F,27,1905,1,138,0.16,0.6
1953,A,Ship,3,5,135,3,0,M,20,1772,1,115,0.15,0.6
1954,B,Ship,4,4,263,2,1,F,41,3955,1,222,0.16,0.6
1955,C,Ship,5,4,228,3,1,M,20,3382,1,208,0.09,0.6
1956,F,Ship,6,5,275,5,1,M,51,3569,1,224,0.19,0.6
1957,D,Ship,4,1,224,3,0,M,27,3400,1,197,0.12,0.6
1958,F,Ship,3,1,202,3,0,F,1,3738,1,201,0.0,0.6
1959,A,Ship,4,2,163,3,0,F,11,1926,1,152,0.07,0.6
1960,B,Ship,4,5,268,3,0,F,64,2386,1,204,0.24,0.6
1961,C,Ship,3,3,207,3,0,F,62,3277,1,145,0.3,0.6
1962,F,Ship,2,3,117,2,1,M,36,1210,1,81,0.31,0.6
1963,D,Ship,2,1,165,4,0,F,57,1881,1,108,0.35,0.6
1964,F,Ship,3,3,181,2,2,M,65,3234,1,116,0.36,0.6
1965,A,Ship,6,5,212,4,1,F,13,3676,1,199,0.06,0.6
1966,B,Ship,3,4,226,3,1,F,26,2299,1,200,0.12,0.6
1967,C,Ship,4,1,195,3,0,M,43,2849,1,152,0.22,0.6
1968,F,Ship,4,5,263,2,1,M,13,2779,1,250,0.05,0.6
1969,D,Ship,4,4,136,2,1,F,16,1131,1,120,0.12,0.6
1970,F,Ship,3,5,163,2,0,F,49,1034,1,114,0.3,0.6
1971,A,Ship,5,2,144,3,0,M,49,1202,1,95,0.34,0.6
1972,B,Ship,4,4,240,3,0,F,62,3478,1,178,0.26,0.6
1973,C,Ship,4,5,243,2,0,M,19,2829,1,224,0.08,0.6
1974,F,Ship,5,1,201,3,1,M,19,2696,1,182,0.09,0.6
1975,D,Ship,5,3,242,3,0,M,58,3411,1,184,0.24,0.6
1976,F,Ship,3,1,187,2,2,M,56,3774,1,131,0.3,0.6
1977,A,Ship,4,3,162,3,0,M,53,1194,1,109,0.33,0.6
1978,B,Ship,3,3,147,3,0,M,16,1563,1,131,0.11,0.6
1979,C,Ship,3,4,268,2,2,F,39,2822,1,229,0.15,0.6
1980,F,Ship,4,3,237,3,0,M,57,3952,1,180,0.24,0.6
1981,D,Ship,3,2,157,2,0,M,29,1115,1,128,0.18,0.6
1982,F,Ship,4,2,176,3,1,F,12,1750,1,164,0.07,0.6
1983,A,Ship,4,5,134,4,0,M,36,1191,1,98,0.27,0.6
1984,B,Ship,3,4,234,2,1,M,52,3543,1,182,0.22,0.6
1985,C,Ship,3,3,154,2,0,F,57,1096,1,97,0.37,0.6
1986,F,Ship,2,1,209,5,0,F,64,2016,1,145,0.31,0.6
1987,D,Ship,5,4,138,2,1,M,38,1803,1,100,0.28,0.6
1988,F,Ship,2,3,151,3,1,M,22,1024,1,129,0.15,0.6
1989,A,Ship,4,4,252,6,1,M,44,2676,1,208,0.17,0.6
1990,B,Ship,3,1,155,2,1,F,6,1490,1,149,0.04,0.6
1991,C,Ship,3,3,139,4,2,M,17,1137,1,122,0.12,0.6
1992,F,Ship,4,5,258,3,1,F,37,2289,1,221,0.14,0.6
1993,D,Ship,4,2,172,3,0,M,1,1182,1,171,0.01,0.6
1994,F,Ship,4,3,239,3,0,F,28,2741,1,211,0.12,0.6
1995,A,Ship,3,1,165,3,0,F,1,1417,1,164,0.01,0.6
1996,B,Ship,4,5,177,2,0,M,47,1536,1,130,0.27,0.6
1997,C,Ship,5,1,187,2,0,F,17,3513,1,170,0.09,0.6
1998,F,Ship,6,2,172,2,0,M,41,1006,1,131,0.24,0.6
1999,D,Ship,4,4,168,3,0,F,35,1434,1,133,0.21,0.6
2000,F,Ship,3,4,249,3,0,M,31,3489,1,218,0.12,0.6
2001,A,Ship,4,3,135,3,1,F,11,1322,1,124,0.08,0.6
2002,B,Ship,4,3,134,3,1,M,13,1985,1,121,0.1,0.6
2003,C,Ship,3,1,269,2,0,F,35,3524,1,234,0.13,0.6
2004,F,Ship,6,5,210,5,2,M,37,3236,1,173,0.18,0.6
2005,D,Ship,5,4,285,6,2,M,63,3151,1,222,0.22,0.6
2006,F,Ship,4,2,244,2,1,M,15,2857,1,229,0.06,0.6
2007,A,Ship,3,2,209,2,0,F,24,2748,1,185,0.11,0.6
2008,B,Ship,4,3,154,3,1,M,52,1432,1,102,0.34,0.6
2009,C,Ship,3,2,134,3,1,F,54,1932,1,80,0.4,0.6
2010,F,Ship,3,5,168,4,1,M,23,1347,1,145,0.14,0.6
2011,D,Ship,4,5,264,3,1,M,57,3753,1,207,0.22,0.6
2012,F,Ship,4,2,276,6,2,F,36,2843,1,240,0.13,0.6
2013,A,Ship,3,4,195,3,1,M,23,3499,1,172,0.12,0.6
2014,B,Ship,5,3,174,5,1,M,47,1909,1,127,0.27,0.6
2015,C,Ship,3,4,241,3,0,F,50,3074,1,191,0.21,0.6
2016,F,Ship,5,5,166,3,1,F,20,1267,1,146,0.12,0.6
2017,D,Ship,3,2,190,3,0,M,37,3315,1,153,0.19,0.6
2018,F,Ship,3,1,231,2,0,F,12,2123,1,219,0.05,0.6
2019,A,Ship,5,4,206,4,0,F,3,3755,1,203,0.01,0.6
2020,B,Ship,4,4,212,3,1,M,50,2073,1,162,0.24,0.6
2021,C,Ship,3,5,212,3,0,F,2,2456,1,210,0.01,0.6
2022,F,Ship,4,5,246,6,0,M,64,2271,1,182,0.26,0.6
2023,D,Ship,4,4,264,2,1,F,12,2203,1,252,0.05,0.6
2024,F,Ship,3,4,208,2,0,F,37,2537,1,171,0.18,0.6
2025,A,Ship,3,4,210,3,0,F,7,2878,1,203,0.03,0.6
2026,B,Ship,3,2,183,3,0,F,44,2896,1,139,0.24,0.6
2027,C,Ship,4,2,265,3,0,F,41,3498,1,224,0.15,0.6
2028,F,Ship,3,5,187,3,0,M,20,2374,1,167,0.11,0.6
2029,D,Road,2,4,183,3,0,F,12,3090,1,171,0.07,0.59
2030,F,Road,3,3,176,2,0,F,58,1730,1,118,0.33,0.59
2031,A,Road,4,5,266,3,1,M,5,3718,1,261,0.02,0.59
2032,B,Road,3,2,143,4,1,F,22,1249,1,121,0.15,0.59
2033,C,Road,3,4,195,2,1,F,32,3719,1,163,0.16,0.59
2034,F,Road,3,2,264,4,2,F,32,2754,1,232,0.12,0.59
